Date,Confirmed,Location
2020/01/16,0,北海道
2020/01/17,0,北海道
2020/01/18,0,北海道
2020/01/19,0,北海道
2020/01/20,0,北海道
2020/01/21,0,北海道
2020/01/22,0,北海道
2020/01/23,0,北海道
2020/01/24,0,北海道
2020/01/25,0,北海道
2020/01/26,0,北海道
2020/01/27,0,北海道
2020/01/28,1,北海道
2020/01/29,0,北海道
2020/01/30,0,北海道
2020/01/31,0,北海道
2020/02/01,0,北海道
2020/02/02,0,北海道
2020/02/03,0,北海道
2020/02/04,0,北海道
2020/02/05,0,北海道
2020/02/06,0,北海道
2020/02/07,0,北海道
2020/02/08,0,北海道
2020/02/09,0,北海道
2020/02/10,0,北海道
2020/02/11,0,北海道
2020/02/12,0,北海道
2020/02/13,0,北海道
2020/02/14,1,北海道
2020/02/15,0,北海道
2020/02/16,0,北海道
2020/02/17,0,北海道
2020/02/18,0,北海道
2020/02/19,2,北海道
2020/02/20,1,北海道
2020/02/21,3,北海道
2020/02/22,9,北海道
2020/02/23,9,北海道
2020/02/24,4,北海道
2020/02/25,5,北海道
2020/02/26,4,北海道
2020/02/27,15,北海道
2020/02/28,12,北海道
2020/02/29,4,北海道
2020/03/01,2,北海道
2020/03/02,5,北海道
2020/03/03,2,北海道
2020/03/04,3,北海道
2020/03/05,1,北海道
2020/03/06,7,北海道
2020/03/07,8,北海道
2020/03/08,3,北海道
2020/03/09,7,北海道
2020/03/10,3,北海道
2020/03/11,7,北海道
2020/03/12,10,北海道
2020/03/13,9,北海道
2020/03/14,7,北海道
2020/03/15,4,北海道
2020/03/16,4,北海道
2020/03/17,0,北海道
2020/03/18,2,北海道
2020/03/19,3,北海道
2020/03/20,1,北海道
2020/03/21,1,北海道
2020/03/22,3,北海道
2020/03/23,0,北海道
2020/03/24,1,北海道
2020/03/25,4,北海道
2020/03/26,1,北海道
2020/03/27,1,北海道
2020/03/28,3,北海道
2020/03/29,4,北海道
2020/03/30,1,北海道
2020/03/31,0,北海道
2020/04/01,5,北海道
2020/04/02,3,北海道
2020/04/03,5,北海道
2020/04/04,3,北海道
