Date,Confirmed,Deaths,Recovered,PCR_TEST
2021/3/31,2831,49,1386,67435
2021/3/30,2077,27,1384,41247
2021/3/29,1300,25,1266,72179
2021/3/28,1753,30,1130,18887
2021/3/27,2025,32,1037,39591
2021/3/26,2013,31,1314,67296
2021/3/25,1910,29,1175,62645
2021/3/24,1924,30,1234,59974
2021/3/23,1487,47,1096,52715
2021/3/22,812,26,1082,51469
2021/3/21,1110,23,1119,16997
2021/3/20,1516,22,1021,30658
2021/3/19,1453,32,1200,71301
2021/3/18,1492,41,1027,54899
2021/3/17,1522,39,1111,84919
2021/3/16,1130,56,1198,47776
2021/3/15,688,32,892,49870
2021/3/14,984,30,1023,17266
2021/3/13,1316,51,974,31295
2021/3/12,1268,58,1061,55562
2021/3/11,1316,49,1071,56851
2021/3/10,1312,49,1119,60152
2021/3/9,1126,54,1155,40237
2021/3/8,599,46,1028,67917
2021/3/7,1062,26,968,14409
2021/3/6,1048,49,965,31058
2021/3/5,1146,59,1267,45153
2021/3/4,1168,67,1246,68856
2021/3/3,1241,68,1440,30168
2021/3/2,887,51,1215,82324
2021/3/1,685,46,1510,60090
2021/2/28,994,27,1283,19775
2021/2/27,1208,53,1297,29196
2021/2/26,1059,85,1435,57864
2021/2/25,1075,75,1325,59234
2021/2/24,926,63,1872,54702
2021/2/23,1083,55,1571,18324
2021/2/22,739,55,1558,54180
2021/2/21,1032,57,1328,14683
2021/2/20,1229,84,1624,31579
2021/2/19,1281,59,1796,74955
2021/2/18,1541,78,1997,54504
2021/2/17,1444,94,2279,61138
2021/2/16,1304,87,3465,59849
2021/2/15,962,63,2639,58421
2021/2/14,1362,40,2208,14716
2021/2/13,1356,63,2316,30220
2021/2/12,1297,75,2542,56650
2021/2/11,1691,96,2558,32865
2021/2/10,1885,121,2916,65352
2021/2/9,1569,81,3718,78153
2021/2/8,1215,81,3570,58499
2021/2/7,1628,57,3002,18191
2021/2/6,2274,95,3356,33043
2021/2/5,2371,108,4384,71144
2021/2/4,2573,115,5133,61902
2021/2/3,2639,108,5190,68807
2021/2/2,2329,118,4750,59110
2021/2/1,1783,72,5246,67269
2021/1/31,2672,68,3658,17772
2021/1/30,3332,108,4873,40425
2021/1/29,3536,94,5328,82296
2021/1/28,4123,90,5805,64332
2021/1/27,3965,109,6268,90824
2021/1/26,3849,94,6603,66335
2021/1/25,2761,74,6094,81941
2021/1/24,3987,65,4884,18784
2021/1/23,4696,84,5014,37116
2021/1/22,4803,105,6297,101273
2021/1/21,5662,87,6009,85769
2021/1/20,5532,96,8190,86804
2021/1/19,5300,99,7262,103313
2021/1/18,4917,47,4931,80773
2021/1/17,5751,55,4296,16038
2021/1/16,6987,66,4496,44662
2021/1/15,6741,65,5496,70610
2021/1/14,6598,82,4798,101255
2021/1/13,5841,88,4573,81255
2021/1/12,4521,51,3665,86551
2021/1/11,4851,50,2422,19942
2021/1/10,6090,48,2411,24008
2021/1/9,7278,64,3149,35730
2021/1/8,7844,75,3627,63373
2021/1/7,7537,66,3279,81440
2021/1/6,5946,72,3409,73967
2021/1/5,4885,64,3606,88446
2021/1/4,3302,56,2732,84338
2021/1/3,3127,51,2181,20291
2021/1/2,3045,34,2043,8746
2021/1/1,3106,54,2701,25072
2020/12/31,4322,46,2254,39575
2020/12/30,3845,65,1956,21069
2020/12/29,3595,43,2516,24850
2020/12/28,2383,54,2276,74383
2020/12/27,2939,39,2065,11963
2020/12/26,3694,58,2400,32677
2020/12/25,3813,50,2379,60261
2020/12/24,3714,55,2898,63512
2020/12/23,3258,56,2747,72258
2020/12/22,2665,50,2765,31110
2020/12/21,1776,44,1820,55650
2020/12/20,2391,27,2171,12282
2020/12/19,2972,45,2016,27049
2020/12/18,2833,45,2510,56421
2020/12/17,3208,44,2481,62439
2020/12/16,2987,51,2724,54303
2020/12/15,2402,45,2022,45817
2020/12/14,1662,58,2558,53758
2020/12/13,2373,23,1651,13144
2020/12/12,3012,28,1753,28203
2020/12/11,2781,32,2496,53834
2020/12/10,2948,37,1997,44612
2020/12/9,2802,45,2370,54557
2020/12/8,2148,38,1608,40060
2020/12/7,1502,47,2082,37737
2020/12/6,1999,20,1614,17612
2020/12/5,2497,32,1825,22313
2020/12/4,2425,43,2255,38145
2020/12/3,2507,27,1926,36823
2020/12/2,2419,41,1917,43236
2020/12/1,2019,33,1809,44289
2020/11/30,1429,20,2016,41335
2020/11/29,2041,13,1542,11975
2020/11/28,2674,32,1632,22307
2020/11/27,2510,23,2120,43351
2020/11/26,2499,29,1746,42634
2020/11/25,1930,21,1638,41052
2020/11/24,1217,12,1382,43773
2020/11/23,1513,8,1042,9560
2020/11/22,2150,7,1100,20389
2020/11/21,2508,11,1262,24924
2020/11/20,2418,20,1460,41770
2020/11/19,2383,21,1447,37810
2020/11/18,2179,9,1237,34630
2020/11/17,1686,10,1058,27634
2020/11/16,948,18,952,30109
2020/11/15,1423,2,822,9127
2020/11/14,1723,3,843,16651
2020/11/13,1704,13,965,24038
2020/11/12,1623,16,1005,29912
2020/11/11,1535,10,887,33681
2020/11/10,1278,12,818,25179
2020/11/9,772,11,603,25476
2020/11/8,938,6,454,8004
2020/11/7,1302,3,727,13460
2020/11/6,1137,3,693,28237
2020/11/5,1049,12,634,29533
2020/11/4,607,8,811,21840
2020/11/3,868,6,432,7477
2020/11/2,482,6,460,21535
2020/11/1,606,8,423,6214
2020/10/31,868,11,485,11398
2020/10/30,769,11,581,21782
2020/10/29,804,11,560,20504
2020/10/28,724,3,505,23064
2020/10/27,649,5,654,25714
2020/10/26,401,7,434,22602
2020/10/25,488,7,421,5427
2020/10/24,718,5,472,13211
2020/10/23,745,12,538,22880
2020/10/22,610,9,579,23418
2020/10/21,616,6,548,22144
2020/10/20,477,3,582,15486
2020/10/19,315,2,557,21920
2020/10/18,457,4,426,5123
2020/10/17,579,9,447,9896
2020/10/16,635,11,579,20701
2020/10/15,703,4,610,20737
2020/10/14,549,8,676,21837
2020/10/13,494,4,533,19828
2020/10/12,273,5,508,23235
2020/10/11,432,2,289,5077
2020/10/10,669,3,468,10803
2020/10/9,594,8,618,19697
2020/10/8,622,3,506,21397
2020/10/7,505,8,551,21401
2020/10/6,497,3,602,20435
2020/10/5,271,3,450,21865
2020/10/4,395,2,284,4928
