Date,Country,Deaths
20210331,Indonesia,104.0
20210330,Indonesia,173.0
20210329,Indonesia,132.0
20210328,Indonesia,85.0
20210327,Indonesia,198.0
20210326,Indonesia,85.0
20210325,Indonesia,98.0
20210324,Indonesia,118.0
20210323,Indonesia,154.0
20210322,Indonesia,161.0
20210321,Indonesia,103.0
20210320,Indonesia,108.0
20210319,Indonesia,197.0
20210318,Indonesia,227.0
20210317,Indonesia,162.0
20210316,Indonesia,180.0
20210315,Indonesia,147.0
20210314,Indonesia,97.0
20210313,Indonesia,100.0
20210312,Indonesia,180.0
20210311,Indonesia,117.0
20210310,Indonesia,175.0
20210309,Indonesia,210.0
20210308,Indonesia,281.0
20210307,Indonesia,112.0
20210306,Indonesia,128.0
20210305,Indonesia,129.0
20210304,Indonesia,176.0
20210303,Indonesia,203.0
20210302,Indonesia,193.0
20210301,Indonesia,159.0
20210228,Indonesia,185.0
20210227,Indonesia,195.0
20210226,Indonesia,268.0
20210225,Indonesia,264.0
20210224,Indonesia,240.0
20210223,Indonesia,323.0
20210222,Indonesia,202.0
20210221,Indonesia,173.0
20210220,Indonesia,164.0
20210219,Indonesia,183.0
20210218,Indonesia,181.0
20210217,Indonesia,192.0
20210216,Indonesia,229.0
20210215,Indonesia,184.0
20210214,Indonesia,247.0
20210213,Indonesia,280.0
20210212,Indonesia,275.0
20210211,Indonesia,214.0
20210210,Indonesia,191.0
20210209,Indonesia,213.0
20210208,Indonesia,207.0
20210207,Indonesia,163.0
20210206,Indonesia,191.0
20210205,Indonesia,201.0
20210204,Indonesia,231.0
20210203,Indonesia,189.0
20210202,Indonesia,304.0
20210201,Indonesia,279.0
20210131,Indonesia,270.0
20210130,Indonesia,210.0
20210129,Indonesia,187.0
20210128,Indonesia,476.0
20210127,Indonesia,387.0
20210126,Indonesia,336.0
20210125,Indonesia,297.0
20210124,Indonesia,171.0
20210123,Indonesia,211.0
20210122,Indonesia,250.0
20210121,Indonesia,346.0
20210120,Indonesia,267.0
20210119,Indonesia,308.0
20210118,Indonesia,295.0
20210117,Indonesia,220.0
20210116,Indonesia,283.0
20210115,Indonesia,238.0
20210114,Indonesia,295.0
20210113,Indonesia,306.0
20210112,Indonesia,302.0
20210111,Indonesia,214.0
20210110,Indonesia,182.0
20210109,Indonesia,194.0
20210108,Indonesia,233.0
20210107,Indonesia,224.0
20210106,Indonesia,187.0
20210105,Indonesia,198.0
20210104,Indonesia,177.0
20210103,Indonesia,179.0
20210102,Indonesia,226.0
20210101,Indonesia,191.0
20201231,Indonesia,194.0
20201230,Indonesia,241.0
20201229,Indonesia,251.0
20201228,Indonesia,215.0
20201227,Indonesia,243.0
20201226,Indonesia,147.0
20201225,Indonesia,258.0
20201224,Indonesia,181.0
20201223,Indonesia,151.0
20201222,Indonesia,172.0
20201221,Indonesia,205.0
20201220,Indonesia,221.0
20201219,Indonesia,145.0
20201218,Indonesia,124.0
20201217,Indonesia,142.0
20201216,Indonesia,137.0
20201215,Indonesia,155.0
20201214,Indonesia,137.0
20201213,Indonesia,166.0
20201212,Indonesia,142.0
20201211,Indonesia,175.0
20201210,Indonesia,165.0
20201209,Indonesia,171.0
20201208,Indonesia,133.0
20201207,Indonesia,127.0
20201206,Indonesia,151.0
20201205,Indonesia,110.0
20201204,Indonesia,124.0
20201203,Indonesia,156.0
20201202,Indonesia,118.0
20201201,Indonesia,136.0
20201130,Indonesia,130.0
20201129,Indonesia,169.0
20201128,Indonesia,125.0
20201127,Indonesia,169.0
20201126,Indonesia,127.0
20201125,Indonesia,114.0
20201124,Indonesia,109.0
20201123,Indonesia,118.0
20201122,Indonesia,110.0
20201121,Indonesia,96.0
20201120,Indonesia,78.0
20201119,Indonesia,97.0
20201118,Indonesia,110.0
20201117,Indonesia,97.0
20201116,Indonesia,85.0
20201115,Indonesia,63.0
20201114,Indonesia,111.0
20201113,Indonesia,104.0
20201112,Indonesia,97.0
20201111,Indonesia,75.0
20201110,Indonesia,72.0
20201109,Indonesia,75.0
20201108,Indonesia,74.0
20201107,Indonesia,98.0
20201106,Indonesia,94.0
20201105,Indonesia,89.0
20201104,Indonesia,113.0
20201103,Indonesia,102.0
20201102,Indonesia,101.0
20201101,Indonesia,74.0
20201031,Indonesia,87.0
20201030,Indonesia,81.0
20201029,Indonesia,89.0
20201028,Indonesia,100.0
20201027,Indonesia,101.0
20201026,Indonesia,112.0
20201025,Indonesia,94.0
20201024,Indonesia,128.0
20201023,Indonesia,118.0
20201022,Indonesia,102.0
20201021,Indonesia,123.0
20201020,Indonesia,117.0
20201019,Indonesia,106.0
20201018,Indonesia,80.0
20201017,Indonesia,84.0
20201016,Indonesia,79.0
20201015,Indonesia,112.0
20201014,Indonesia,129.0
20201013,Indonesia,92.0
20201012,Indonesia,91.0
20201011,Indonesia,79.0
20201010,Indonesia,88.0
20201009,Indonesia,97.0
20201008,Indonesia,108.0
20201007,Indonesia,98.0
20201006,Indonesia,121.0
20201005,Indonesia,102.0
20201004,Indonesia,96.0
20201003,Indonesia,83.0
20201002,Indonesia,116.0
20201001,Indonesia,116.0
20200930,Indonesia,139.0
20200929,Indonesia,128.0
20200928,Indonesia,87.0
20200927,Indonesia,78.0
20200926,Indonesia,90.0
20200925,Indonesia,113.0
20200924,Indonesia,128.0
20200923,Indonesia,140.0
20200922,Indonesia,160.0
20200921,Indonesia,124.0
20200920,Indonesia,105.0
